Candidato,Partido,Número,Votos
Agostinho Ferraz,PTC,36040,700
Ronald Oliveira,SD,77555,697
Prof. Paulo Maciel,PSD,55180,691
Alessandro Didi,PSC,20000,682
Avelino Freire,PEN,51121,669
Sargento Santiago,PSC,20900,667
Igor Alves,PRP,44144,664
Silvania Carrilho,PV,43888,651
Sandra Pernambuco,PSC,20232,650
Humberto do Marreta,PTB,14500,648
Marinho Timbaúba,PHS,31234,643
Erivaldo Arruda,PTB,14123,641
Davi Valente,PSC,20699,637
Paulinho do Bongi,PRTB,28122,630
Cassius Guerra,DEM,25678,626
Eduardo Gomes,PSDB,45555,624
Diego Lagedo,DEM,25225,623
Bel da Lojinha,PSC,20500,622
Fabiano Leite,PEN,51192,599
Prof. Elismário,PC do B,65700,595
Fred Brennand,PPS,23012,595
Lincoln Cabral,PTC,36999,587
Dr. Haroldo Duarte,PSDB,45013,587
Diego Frota,PSC,20666,579
Dedé Barnabé,PRTB,28116,578
Arinaldo Fulco Aba,PRP,44111,568
Carlos Dutra Sopinha,PP,11211,567
Júnior Viana,PRB,10610,553
Dilson Costa,PRP,44744,552
Márcio Puxador,PPL,54095,551
Luciano Oliveira dos Mercados,PSC,20700,549
Nuno Trigueiro,PV,43430,546
Júnior Barros,SD,77700,545
Batista,PP,11011,545
Célia Santos,PHS,31100,543
Nino Bike,PHS,31300,543
Mecinho,PSDC,27789,542
Marcela Marques,PC do B,65333,541
Ademir Araujo Mestre Formiga,PPL,54579,541
Nildo Regente,PSDC,27222,538
Ednaldo Barros,PTC,36013,534
Nadilene Ribeiro,PRP,44200,529
Dalva da Escolinha,PRTB,28088,523
Yra de Kassia (kassia da Ótica,DEM,25111,522
Douglas Porto,PTC,36536,520
Zé Gomes,PSOL,50555,512
Alcimar Dias,PTC,36126,511
Mário Gomes,PEN,51040,510
Moura,PPL,54066,507
Regi Avançar,PSC,20533,504
Érico Santos,PPS,23025,502
Hamilton Buarque,PV,43016,489
Valdomiro Moraes,PRP,44244,484
Poniel do Carangueijo,PSC,20520,484
Edivaldo Valentin,PRP,44044,481
Pedro Cavalcante,PT,13789,478
Bibiu,PTC,36555,478
Nelson Monteiro,PSDC,27333,477
Marcos Palito,PPL,54613,473
Suely Guimarães,SD,77770,472
Paulo de Tassio,PSD,55100,472
Neto da Saúde,PSDC,27275,471
Marinaldo Vendedor,PSDB,45000,470
Daniel Blay,PSDC,27627,469
Zé da Rima,PSDC,27900,463
Demar,PTC,36011,460
Henrique,SD,77177,459
Gleyson Luiz,PROS,90500,455
Profº Marcos,PC do B,65165,453
Ana Morais,PSC,20222,450
Antonia Elizabete,PSOL,50321,449
Amauri Souto,PSC,20200,448
Everaldo Evangelista Nenê,PSC,20614,448
Fellype Lira,PEN,51651,447
Irmão Rolly,PRP,44155,446
Marcelo Marujo,PSDB,45400,445
Major Fentes,PSC,20111,441
Ezequiel Gomes,PP,11888,439
Delegado Paulo Jeann,REDE,18190,433
Beto Ferraz,PHS,31333,430
Pedro Luiz,PEN,51330,415
Samuel Campos,PTC,36000,414
Isaque Santana,PEN,51456,410
Elpidio Araújo,SD,77877,409
Lúcio Beltrão,PSDB,45222,409
Anna Paula Carvalho,PV,43333,409
Reginaldo Praticamente,PSC,20630,408
Stênio Fonsêca,PEN,51000,406
Gabriel Lima,PRP,44983,406
Robson Protetico,PP,11161,405
Piedade Buarque,PDT,12112,403
Léo,PRB,10100,402
Beline Lopes,PSDB,45636,401
Rafa Lima,PSD,55110,400
Alcinéa Padilha,PPS,23600,398
Pastor Ailton,PC do B,65070,394
